#    L    TT             EE             TE             PP             TP          
     2    0.10053E+04    0.12028E-05    0.26662E-01    0.10208E+07    0.28100E+05
     3    0.96725E+03    0.56863E-05    0.60603E-01    0.15738E+07    0.33294E+05
     4    0.93174E+03    0.16382E-04    0.10352E+00    0.20672E+07    0.35714E+05
     5    0.90653E+03    0.36964E-04    0.15459E+00    0.25044E+07    0.36690E+05
     6    0.89042E+03    0.71791E-04    0.21313E+00    0.28914E+07    0.36872E+05
     7    0.88127E+03    0.12585E-03    0.27844E+00    0.32356E+07    0.36595E+05
     8    0.87691E+03    0.20466E-03    0.34971E+00    0.35429E+07    0.36048E+05
     9    0.87644E+03    0.31437E-03    0.42637E+00    0.38186E+07    0.35334E+05
    10    0.87893E+03    0.46132E-03    0.50754E+00    0.40661E+07    0.34520E+05
    11    0.88366E+03    0.65280E-03    0.59267E+00    0.42900E+07    0.33668E+05
    12    0.89077E+03    0.89604E-03    0.68156E+00    0.44911E+07    0.32782E+05
    13    0.89916E+03    0.11987E-02    0.77259E+00    0.46740E+07    0.31917E+05
    14    0.90873E+03    0.15683E-02    0.86536E+00    0.48389E+07    0.31046E+05
    15    0.91926E+03    0.20138E-02    0.95908E+00    0.49890E+07    0.30197E+05
    16    0.93104E+03    0.25442E-02    0.10541E+01    0.51254E+07    0.29358E+05
    17    0.94353E+03    0.31683E-02    0.11488E+01    0.52483E+07    0.28545E+05
    18    0.95633E+03    0.38934E-02    0.12422E+01    0.53604E+07    0.27758E+05
    19    0.97064E+03    0.47330E-02    0.13351E+01    0.54622E+07    0.27006E+05
    20    0.98520E+03    0.56916E-02    0.14261E+01    0.55540E+07    0.26270E+05
    21    0.10002E+04    0.67801E-02    0.15142E+01    0.56370E+07    0.25562E+05
    22    0.10156E+04    0.80081E-02    0.15991E+01    0.57123E+07    0.24881E+05
    23    0.10314E+04    0.93856E-02    0.16802E+01    0.57803E+07    0.24225E+05
    24    0.10476E+04    0.10921E-01    0.17562E+01    0.58410E+07    0.23597E+05
    25    0.10641E+04    0.12624E-01    0.18274E+01    0.58957E+07    0.22992E+05
    26    0.10810E+04    0.14504E-01    0.18935E+01    0.59447E+07    0.22407E+05
    27    0.10982E+04    0.16572E-01    0.19536E+01    0.59881E+07    0.21843E+05
    28    0.11156E+04    0.18835E-01    0.20066E+01    0.60266E+07    0.21303E+05
    29    0.11334E+04    0.21302E-01    0.20519E+01    0.60603E+07    0.20786E+05
    30    0.11514E+04    0.23984E-01    0.20905E+01    0.60899E+07    0.20284E+05
    31    0.11696E+04    0.26887E-01    0.21211E+01    0.61151E+07    0.19798E+05
    32    0.11880E+04    0.30022E-01    0.21428E+01    0.61368E+07    0.19332E+05
    33    0.12067E+04    0.33398E-01    0.21544E+01    0.61551E+07    0.18887E+05
    34    0.12256E+04    0.37018E-01    0.21573E+01    0.61700E+07    0.18455E+05
    35    0.12447E+04    0.40895E-01    0.21507E+01    0.61817E+07    0.18036E+05
